Scientific Name,Query Cover,Per. ident,Accession  
Homo sapiens,99%,100.00,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/1ABW_A?report=genbank&log$=prottop&blast_rank=1&RID=6CJYYBXF016"",""1ABW_A"")"
Trachypithecus francoisi,100%,97.18,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033092340.1?report=genbank&log$=prottop&blast_rank=2&RID=6CJYYBXF016"",""XP_033092340.1"")"
Simiiformes,100%,96.48,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SAI82172.1?report=genbank&log$=prottop&blast_rank=3&RID=6CJYYBXF016"",""SAI82172.1"")"
Saguinus oedipus,100%,94.37,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2086208.1?report=genbank&log$=prottop&blast_rank=4&RID=6CJYYBXF016"",""KAK2086208.1"")"
Nycticebus coucang,100%,93.66,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053412047.1?report=genbank&log$=prottop&blast_rank=5&RID=6CJYYBXF016"",""XP_053412047.1"")"
cellular organisms,100%,90.85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185150429.1?report=genbank&log$=prottop&blast_rank=6&RID=6CJYYBXF016"",""WP_185150429.1"")"
Homo sapiens,100%,75.94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AQN67653.1?report=genbank&log$=prottop&blast_rank=7&RID=6CJYYBXF016"",""AQN67653.1"")"
Boreoeutheria,100%,92.25,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001162287.1?report=genbank&log$=prottop&blast_rank=8&RID=6CJYYBXF016"",""NP_001162287.1"")"
Chiroptera,100%,88.73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_070269501.1?report=genbank&log$=prottop&blast_rank=9&RID=6CJYYBXF016"",""XP_070269501.1"")"
Glires,100%,89.44,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AFX00018.1?report=genbank&log$=prottop&blast_rank=10&RID=6CJYYBXF016"",""AFX00018.1"")"
Papio hamadryas,100%,92.25,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SAI82176.1?report=genbank&log$=prottop&blast_rank=11&RID=6CJYYBXF016"",""SAI82176.1"")"
Rhinolophoidea,100%,87.32,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032956912.1?report=genbank&log$=prottop&blast_rank=12&RID=6CJYYBXF016"",""XP_032956912.1"")"
Rhinolophus trifoliatus,100%,87.32,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAN3457899.1?report=genbank&log$=prottop&blast_rank=13&RID=6CJYYBXF016"",""KAN3457899.1"")"
Rodentia,100%,86.62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001077424.1?report=genbank&log$=prottop&blast_rank=14&RID=6CJYYBXF016"",""NP_001077424.1"")"
Lemuriformes,99%,87.94,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P20019.1?report=genbank&log$=prottop&blast_rank=15&RID=6CJYYBXF016"",""P20019.1"")"
Pipistrellus hanaki,100%,87.32,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_084736647.1?report=genbank&log$=prottop&blast_rank=16&RID=6CJYYBXF016"",""XP_084736647.1"")"
Miniopterus,100%,86.62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016071731.1?report=genbank&log$=prottop&blast_rank=17&RID=6CJYYBXF016"",""XP_016071731.1"")"
Tadarida brasiliensis,100%,87.32,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAN3777413.1?report=genbank&log$=prottop&blast_rank=18&RID=6CJYYBXF016"",""KAN3777413.1"")"
Pecora,100%,88.03,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001070890.2?report=genbank&log$=prottop&blast_rank=19&RID=6CJYYBXF016"",""NP_001070890.2"")"
Perissodactyla,99%,87.23,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P09906.1?report=genbank&log$=prottop&blast_rank=20&RID=6CJYYBXF016"",""P09906.1"")"



		


